name,proportion_male,proportion_female,gender
Aaron,0.9911,0.0089,male
Abbey,0.002,0.998,female
Abby,0.0031,0.9969,female
Abigail,0.0022,0.9978,female
Abraham,0.9963,0.0037,male
Abree,0,1,female
Adam,0.9957,0.0043,male
Addison,0.3627,0.6373,female
Adel,0.5246,0.4754,male
Adela,0,1,female
Adeline,0,1,female
Adria,0.0014,0.9986,female
Adriane,0.0355,0.9645,female
Adrianna,5e-4,0.9995,female
Adrienne,0.005,0.995,female
Afua,0,1,female
Aimee,0.0015,0.9985,female
Ainsley,0.0447,0.9553,female
Akira,0.2187,0.7813,female
Alan,0.9967,0.0033,male
Alec,0.9921,0.0079,male
Aleksandra,0,1,female
Alessandra,0,1,female
Alex,0.9657,0.0343,male
Alexa,0.0026,0.9974,female
Alexander,0.9906,0.0094,male
Alexandra,0.0041,0.9959,female
Alexis,0.1346,0.8654,female
Alexsandra,0,1,female
Ali,0.6787,0.3213,male
Alice,0.0034,0.9966,female
Alicia,0.0032,0.9968,female
Aliesha,0,1,female
Alina,0,1,female
Alisa,7e-4,0.9993,female
Alisha,0.0024,0.9976,female
Alison,0.0046,0.9954,female
Alix,0.1849,0.8151,female
Allan,0.9971,0.0029,male
Allee,0,1,female
Allen,0.9938,0.0062,male
Allie,0.0587,0.9413,female
Allison,0.0091,0.9909,female
Allissa,0,1,female
Alysia,0,1,female
Alyssa,0.0015,0.9985,female
Amanda,0.0027,0.9973,female
Amandarose,0,1,female
Amber,0.0026,0.9974,female
Ameer,1,0,male
Amelia,0.0014,0.9986,female
Amie,0.001,0.999,female
Amir,0.9809,0.0191,male
Amity,0,1,female
Amy,0.0026,0.9974,female
Ana,0.0068,0.9932,female
Anastasia,9e-4,0.9991,female
Andre,0.9783,0.0217,male
Andrea,0.0129,0.9871,female
Andreas,0.9901,0.0099,male
Andres,0.9919,0.0081,male
Andrew,0.9957,0.0043,male
Andrey,0.9304,0.0696,male
Andy,0.9881,0.0119,male
Anelise,0,1,female
Angee,0,1,female
Angel,0.615,0.385,male
Angela,0.003,0.997,female
Angelica,0.0039,0.9961,female
Angelika,0,1,female
Angelina,7e-4,0.9993,female
Angelique,3e-4,0.9997,female
Anita,0.0031,0.9969,female
Ann,0.0028,0.9972,female
Anna,0.003,0.997,female
Anne,0.0025,0.9975,female
Annette,0.0031,0.9969,female
Annie,0.0053,0.9947,female
Anson,1,0,male
Anthony,0.9943,0.0057,male
